X,Y,Zone,NOMREG,DN,Area,Class,Echant,adm_01,adm_02,adm_03,Cle,NAME,TYPELOCALI,Site,icon_url
4.79013300009425,14.0487169999875,Soudano_Sahelienne,TAHOUA,"4546",3773535.96029966837,RDR,"124",Tahoua,Birni N'Konni,Alléla,"83300",Garin Bello,5.00000000000,Site,./0.png
6.99095000000057,14.178417,Sahelienne,MARADI,"4454",13703555.90430000052,NRD,"56",Maradi,Dakoro,Kornaka,"117340",N'Walla Aggour,2.00000000000,Site,./0.png
7.02101700000048,14.1962500000001,Sahelienne,MARADI,"4454",13703555.90430000052,NRD,"56",Maradi,Dakoro,Kornaka,"117340",Dajin Magaji,2.00000000000,Site,./0.png
7.02480000000047,14.209133,Sahelienne,MARADI,"4454",13703555.90430000052,NRD,"56",Maradi,Dakoro,Kornaka,"117340",Debi (Danko),5.00000000000,Site,./0.png
7.06376700000042,14.385233,Sahelienne,MARADI,"4454",30854910.92999999970,NRD,"15",Maradi,Dakoro,Kornaka,"115893",Guidan Dan Daji Mai Doubou,5.00000000000,Reserve,./0.png
7.09791700000037,14.388717,Sahelienne,MARADI,"4454",30854910.92999999970,NRD,"15",Maradi,Dakoro,Kornaka,"115893",Guidan Ibrahim,5.00000000000,Reserve,./0.png
8.49713300000007,14.4674670000001,Sahelo_Saharienne,ZINDER,"3345",20474843.78999999911,NRR,"18",Zinder,Tanout,Gangara,"225663",Garin Kalgo,5.00000000000,Site,./0.png
8.50151700000005,14.476233,Sahelo_Saharienne,ZINDER,"3345",20474843.78999999911,NRR,"18",Zinder,Tanout,Gangara,"225663",Zangon Mahaman,5.00000000000,Reserve,./0.png
8.52373300000004,14.4881830000001,Sahelo_Saharienne,ZINDER,"3345",20474843.78999999911,NRR,"18",Zinder,Tanout,Gangara,"225663",Guidan Abdou Razak,5.00000000000,Site,./0.png
5.10316700004837,14.4951169999933,Sahelienne,TAHOUA,"3445",12394968.90839999914,RNR,"16",Tahoua,Illéla,Illéla,"150866",Farabani Tsangalandam,2.00000000000,Site,./0.png
