X,Y,DN,C_2019,Class,C_Class,Zone,C_Zone,Region,C_Region,Departemen,Commune,UH,Area,Point,Point_cont,x,y,Xd,Yd,icon_url
8.263411,14.167869,"4343","3",DRD,"7",Sahelienne,"1",Maradi,"2",Tessaoua,Ourafane,"213",7417450.678919999860227,"2","27","420511","156641",8.263411000000000,14.167869000000000,./0.png
6.862152,14.287948,"4444","4",NNN,"14",Sahelienne,"1",Maradi,"2",Dakoro,Adjekoria,"214",231699540.791000008583069,"1","28","269375","158063",6.862152000000000,14.287948000000000,./0.png
8.439322,13.897873,"4444","4",NNN,"14",Sahelienne,"1",Maradi,"2",Tessaoua,Ourafane,"214",139312229.574999988079071,"2","29","439424","153650",8.439322000000002,13.897873000000001,./0.png
7.501322,14.130669,"4445","5",NNR,"15",Sahelienne,"1",Maradi,"2",Mayahi,Attantane,"215",523613320.406000018119812,"1","30","338232","156269",7.501322000000000,14.130668999999999,./0.png
6.687653,14.451684,"4455","5",NRN,"17",Sahelienne,"1",Maradi,"2",Dakoro,Birni Lalle,"215",138850579.814999997615814,"2","31","250724","159893",6.687653000000000,14.451684000000000,./0.png
7.158855,13.817744,"4456","6",NRR,"18",Sahelienne,"1",Maradi,"2",Dakoro,Maiyara,"216",31184119.069800000637770,"1","32","300987","152833",7.158855000000000,13.817743999999999,./0.png
7.250073,13.911051,"5456","6",DRR,"9",Sahelienne,"1",Maradi,"2",Dakoro,Maiyara,"216",22925163.719900000840425,"2","33","310925","153858",7.250073000000000,13.911051000000000,./0.png
7.287773,13.941608,"4457","7",NRR,"18",Sahelienne,"1",Maradi,"2",Mayahi,Attantane,"217",2520425.721929999999702,"1","34","315024","154193",7.287773000000000,13.941608000000000,./0.png
7.213153,13.940203,"5457","7",DRR,"9",Sahelienne,"1",Maradi,"2",Dakoro,Maiyara,"217",1435890.671730000060052,"2","35","306959","154183",7.213153000000000,13.940203000000000,./0.png
7.256042,15.331902,"4441","1",NND,"13",Sahelo_Saharienne,"2",Maradi,"2",Bermo,Gadabedji,"221",138378.199888000002829,"1","36","312779","169579",7.256042000000000,15.331901999999999,./0.png
7.256041,15.328282,"3441","1",RND,"22",Sahelo_Saharienne,"2",Maradi,"2",Bermo,Gadabedji,"221",69190.235474800007069,"2","37","312776","169538",7.256041000000000,15.328282000000000,./0.png
7.258455,15.330695,"4442","2",NND,"13",Sahelo_Saharienne,"2",Maradi,"2",Bermo,Gadabedji,"222",207567.970762000011746,"1","38","313037","169565",7.258455000000000,15.330695000000000,./0.png
7.251538,15.330331,"3332","2",NND,"13",Sahelo_Saharienne,"2",Maradi,"2",Bermo,Gadabedji,"222",76297.620343400005368,"2","39","312294","169562",7.251538000000000,15.330330999999999,./0.png
6.770039,15.355702,"3343","3",NRD,"16",Sahelo_Saharienne,"2",Maradi,"2",Bermo,Gadabedji,"223",22358965.870099999010563,"1","40","260611","169890",6.770039000000000,15.355702000000001,./0.png
7.12474,15.213053,"3343","3",NRD,"16",Sahelo_Saharienne,"2",Maradi,"2",Bermo,Gadabedji,"223",21930638.842700000852346,"2","41","298565","168275",7.124740000000000,15.213053000000000,./0.png
7.366296,14.55637,"4444","4",NNN,"14",Sahelo_Saharienne,"2",Maradi,"2",Dakoro,Tagriss,"224",215036291.048000007867813,"1","42","323987","160989",7.366296000000000,14.556369999999999,./0.png
7.061083,15.278362,"3344","4",NRN,"17",Sahelo_Saharienne,"2",Maradi,"2",Bermo,Gadabedji,"224",197725234.999000012874603,"2","43","291790","169004",7.061083000000000,15.278362000000000,./0.png
7.178697,14.635054,"4445","5",NNR,"15",Sahelo_Saharienne,"2",Maradi,"2",Dakoro,Bader Goula,"225",71125712.324399992823601,"1","44","303839","161875",7.178697000000000,14.635054000000000,./0.png
7.028983,14.728371,"4455","5",NRN,"17",Sahelo_Saharienne,"2",Maradi,"2",Dakoro,Roumbou I,"225",36924683.171099998056889,"2","45","287799","162921",7.028983000000000,14.728370999999999,./0.png
